comid,country,comid_old,hivsero,hivcomb,artadjust,artcrude,popsize,triplet.id
Z3,1,Chimwemwe,15.84,15.5,22.62,23.6,42898,1
Z12,1,Ndeke,13.37,13.44,28.52,30.44,33297,1
Z13,1,Ngungu,16.98,16.5,15.33,16.88,38081,1
Z2,1,Chifubu,18.51,17.58,29.59,31.9,60222,2
Z5,1,Chipulukusu,17.01,15.73,18.21,19.52,45234,2
Z10,1,Makululu,19.22,19.65,31.93,30.19,34623,2
Z1,1,Chawama,15.51,15.55,13.13,15.33,129221,3
Z4,1,Chipata,15.1,14.78,21.98,23.45,166251,3
Z7,1,Kanyama,16.27,17.49,24.94,26.74,124284,3
Z8,1,Maramba,18.02,17.36,27.29,28.84,55011,4
Z9,1,Dambwa,25.37,23.92,23.63,23.91,31629,4
Z16,1,Shampande,15.72,18.2,37.51,37.17,41615,4
SA1,2,Kuyasa,33,33,19.9,19.9,34096,5
SA2,2,Luvuyo,33,33,19.9,19.9,21386,5
SA3,2,Town II,33,33,19.9,19.9,38059,5
SA4,2,Ikhwezi,18.4,18.4,30.33,30.33,72544,6
SA5,2,Bloekombos,22.1,22.1,23.1,23.1,37084,6
SA6,2,Delft South,13.1,13.1,38.43,38.43,44821,6
SA7,2,Dalevale,13.2,13.2,20.61,20.61,36009,7
SA8,2,Wellington,13.2,13.2,20.61,20.61,82953,7
SA9,2,Cloetesville,15.6,15.6,13.53,13.53,45067,7
